index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.14922,-0.957881,-0.885244,0.823622,-0.844155,-1.17312,-0,0,-0,0,0,0,0,0,0,0,0,0
1,0.1,-0.151407,-0.953693,-0.897744,0.834939,-0.843519,-1.16886,-0.0438298,0.0836528,-0.249995,0.226601,0.0127287,0.085313,-0.451588,0.822122,-2.49993,2.30244,0.126914,0.886244
2,0.2,-0.158132,-0.94131,-0.935241,0.869342,-0.841615,-1.15569,-0.0916784,0.162862,-0.499944,0.464316,0.0252859,0.180737,-0.512586,0.753703,-2.4994,2.47306,0.123413,1.04121
3,0.3,-0.170013,-0.921446,-0.997731,0.928597,-0.838497,-1.132,-0.147678,0.232211,-0.749846,0.72611,0.0367382,0.297917,-0.616561,0.619147,-2.49962,2.79661,0.101154,1.33208
4,0.4,-0.188086,-0.895473,-1.08517,1.01592,-0.834398,-1.09487,-0.215774,0.282636,-0.996379,1.02673,0.0440059,0.451519,-0.725312,0.327774,-2.2959,3.12528,0.0251424,1.72207
5,0.5,-0.213325,-0.866377,-1.19521,1.13421,-0.830129,-1.04061,-0.289193,0.290646,-1.19288,1.33907,0.0382791,0.639163,-0.738249,-0.188165,-1.61238,3.12551,-0.157404,2.04594
6,0.6,-0.245871,-0.839221,-1.32131,1.28374,-0.827585,-0.965848,-0.360917,0.242369,-1.31639,1.65156,0.0069888,0.862565,-0.687667,-0.794889,-0.838424,3.12506,-0.49638,2.43983
7,0.7,-0.285206,-0.820013,-1.45583,1.46453,-0.83023,-0.866615,-0.423464,0.130858,-1.36048,1.96407,-0.0698115,1.13069,-0.546093,-1.44767,-0.0294523,3.12474,-1.1004,2.95832
8,0.8,-0.326536,-0.814985,-1.58108,1.66017,-0.842672,-0.748053,-0.394066,-0.0272754,-1.12832,1.91536,-0.182085,1.22141,0.4743,-1.45184,2.50169,-1.06926,-1.23447,0.582554
9,0.9,-0.363171,-0.8243,-1.68143,1.84502,-0.867256,-0.623833,-0.334465,-0.151834,-0.878734,1.76682,-0.311432,1.25398,0.719824,-1.0208,2.50319,-1.9532,-1.32724,0.0301594
10,1,-0.392627,-0.84363,-1.75682,2.01008,-0.904843,-0.499616,-0.250966,-0.224661,-0.629103,1.5144,-0.436042,1.21465,0.938846,-0.415757,2.48561,-3.12579,-1.097,-0.873764
11,1.1,-0.413159,-0.867416,-1.80823,2.14592,-0.953428,-0.382896,-0.160907,-0.244117,-0.407141,1.2023,-0.531071,1.11649,0.854509,-0.00447669,1.98065,-3.09916,-0.791604,-1.08164
12,1.2,-0.425145,-0.891255,-1.83968,2.25055,-1.00978,-0.277184,-0.0810487,-0.227404,-0.228346,0.890214,-0.586995,0.991473,0.724174,0.320412,1.59909,-3.13038,-0.242703,-1.48491
13,1.3,-0.429986,-0.91189,-1.85521,2.3239,-1.06809,-0.186707,-0.0199468,-0.180179,-0.0898428,0.576623,-0.559165,0.801595,0.470381,0.62134,1.13367,-3.11266,0.948801,-2.44712
14,1.4,-0.430257,-0.926157,-1.85961,2.36593,-1.1158,-0.121879,0.00755563,-0.0984322,-0.0104593,0.263797,-0.355222,0.458907,0.0196396,1.01787,0.317774,-3.00005,3.39033,-4.60817
15,1.5,-0.430102,-0.930772,-1.85926,2.37833,-1.13387,-0.0994282,-0.0359734,0.00573023,0.0506281,0.0313498,-0.0742625,0.0430071,-1.93336,1.22832,2.49855,-0.782761,-0.133049,-2.33248
16,1.6,-0.440703,-0.924524,-1.84544,2.37534,-1.13664,-0.109762,-0.193689,0.120665,0.250889,-0.0720067,-0.0233547,-0.221606,-1.93003,1.20237,2.5,-0.717515,-0.232719,-2.20821
17,1.7,-0.469722,-0.906445,-1.80785,2.36455,-1.14014,-0.142963,-0.386692,0.240902,0.500889,-0.143758,-0.0466266,-0.442427,-1.93003,1.20237,2.5,-0.717515,-0.232719,-2.20821
18,1.8,-0.518042,-0.876343,-1.74526,2.34659,-1.14596,-0.198247,-0.579695,0.361139,0.750889,-0.21551,-0.0698985,-0.663248,-1.93003,1.20237,2.5,-0.717515,-0.232719,-2.20821
19,1.9,-0.585661,-0.834218,-1.65767,2.32145,-1.15412,-0.275613,-0.772698,0.481376,1.00089,-0.287261,-0.0931704,-0.884069,-1.93003,1.20237,2.5,-0.717515,-0.232719,-2.20821
20,2,-0.672581,-0.780068,-1.54508,2.28913,-1.1646,-0.375061,-0.965701,0.601613,1.25089,-0.359013,-0.116442,-1.10489,-1.93003,1.20237,2.5,-0.717515,-0.232719,-2.20821
21,2.1,-0.778802,-0.713895,-1.40749,2.24965,-1.17741,-0.496591,-1.1587,0.72185,1.50089,-0.430764,-0.139714,-1.32571,-1.93003,1.20237,2.5,-0.717515,-0.232719,-2.20821
